"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","p_FC","adj_diff","diff_pfc"
5.87764834047697e-07,1.84962901076409,0.47,0.261,0.0189759876672299,"ENT","Gm36855",1.84962792361721,0.44468085106383,0.822494119225523
6.89442680749935e-07,2.78018485078817,0.165,0.026,0.0222586569480117,"ENT","Ntng1",2.78018293401008,0.842424242424242,2.34209350198425
2.82869602638059e-06,2.70380944343537,0.357,0.169,0.0913244512116975,"ENT","5033421B08Rik",2.70380179518034,0.526610644257703,1.42385080530505
4.39428813425787e-06,0.905344028271928,0.913,0.934,0.141869592414515,"ENT","C030029H02Rik",0.905340049929407,0.0224839400428266,0.0203556114009824
8.33569852852994e-06,1.780884593872,0.33,0.151,0.269118026993589,"ENT","Mef2c",1.78086974895491,0.542424242424242,0.965986924433116
1.34162924645861e-05,0.680892094022946,0.87,0.908,0.433145002219162,"ENT","Magi1",0.680882958975476,0.0418502202643172,0.0284951018073437
0.00764411840543302,13.91275069229,0.026,0,1,"ENT","Dntt",13.8063999786528,1,13.8063999786528
0.00764411840543302,13.815741990739,0.026,0,1,"ENT","Dmp1",13.7101328231029,1,13.7101328231029
0.00203562128138391,13.2698770128442,0.035,0,1,"ENT","Sall3",13.2428645687955,1,13.2428645687955
0.00764411840543302,13.2474863287173,0.026,0,1,"ENT","Gcnt4",13.1462209746463,1,13.1462209746463
0.00203562128138391,13.2289547399736,0.035,0,1,"ENT","1700030L22Rik",13.2020255981744,1,13.2020255981744
0.00764411840543302,13.2131104911378,0.026,0,1,"ENT","Cox6a2",13.1121079100395,1,13.1121079100395
0.00203562128138391,13.1911828088303,0.035,0,1,"ENT","Gm43773",13.164330556378,1,13.164330556378
0.00764411840543302,13.067333343713,0.026,0,1,"ENT","Slc26a1",12.9674451003904,1,12.9674451003904
0.00203562128138391,13.0157139416684,0.035,0,1,"ENT","Tnfrsf1a",12.9892188773763,1,12.9892188773763
2.72859070227946e-08,2.79494453585883,0.238,0.032,0.000880925508230923,"HIP","Piezo2",2.79494445959623,0.865546218487395,2.41915360788582
4.1589804061443e-08,3.18183121927665,0.286,0.049,0.00134272682412369,"HIP","Kcnip2",3.18183108694492,0.828671328671329,2.63669219442638
1.51271790368221e-07,2.48777284935367,0.643,0.307,0.00488380975203802,"HIP","Uba52",2.48777247302382,0.522550544323484,1.29998685993157
2.49581300875783e-07,2.57192291705348,0.119,0.006,0.00805773229877465,"HIP","Rtp4",2.57192227514961,0.949579831932773,2.44224552178073
6.17886780167575e-07,4.11854256556761,0.095,0.003,0.0199484746977102,"HIP","C230057M02Rik",4.11854002077461,0.968421052631579,3.98848086222383
6.6192382704071e-07,14.2840001924331,0.071,0,0.0213702107560093,"HIP","Klk8",14.283990737513,1,14.283990737513
6.6192382704071e-07,13.8136955491069,0.071,0,0.0213702107560093,"HIP","Ttr",13.8136864054927,1,13.8136864054927
6.6192382704071e-07,13.7275424638718,0.071,0,0.0213702107560093,"HIP","1700066B19Rik",13.7275333772843,1,13.7275333772843
1.49951465305796e-06,0.942686088366054,0.929,0.849,0.0484118305739764,"HIP","Smdt1",0.942684674794452,0.086114101184069,0.0811784434699205
2.43752447328147e-06,1.87368648504122,0.381,0.11,0.0786954776198923,"HIP","Zfp84",1.87368191788455,0.711286089238845,1.33272388384964
5.11295489887261e-06,3.05925410007214,0.214,0.041,0.165071748910102,"HIP","Gm43672",3.0592384582439,0.808411214953271,2.47312267886073
7.03947268556738e-06,2.38661591377433,0.286,0.07,0.227269375653543,"HIP","Tfpt",2.38659911325679,0.755244755244755,1.80246646315898
1.94002811257993e-05,0.98445933327597,0.571,0.246,0.626338076146429,"HIP","Snhg20",0.984440234488147,0.569176882661997,0.560320623833009
2.50940514732634e-05,1.80043647558069,0.19,0.035,0.81016145181431,"HIP","Fxyd1",1.80039129533509,0.815789473684211,1.46874026724705
0.00426656247612829,16.4837291423127,0.024,0,1,"HIP","Mgarp",16.4134002820875,1,16.4134002820875
3.9916104957012e-11,1.89703987559858,0.524,0.183,1.28869144853713e-06,"HIP - CA","Hpca",1.89703987552285,0.650763358778626,1.23452404113224
1.42708263450075e-09,0.681111178699814,1,0.992,4.60733628548567e-05,"HIP - CA","Rps29",0.681111177727812,0.00800000000000001,0.0054488894218225
4.63388863387427e-09,1.29117394094852,0.71,0.399,0.000149605094544631,"HIP - CA","Nrgn",1.29117393496536,0.438028169014084,0.565570554611589
9.89675768112234e-09,0.502282225842093,1,1,0.000319516821735035,"HIP - CA","mt-Nd1",0.502282220871127,0,0
4.8985255396403e-08,0.562693027989624,1,0.977,0.00158148897047287,"HIP - CA","Rpl41",0.562693000425963,0.023,0.0129419390097972
1.08843151174855e-07,0.612238754968317,1,0.916,0.00351400113568019,"HIP - CA","Rps28",0.612238688330321,0.084,0.051428049819747
5.36370682246544e-07,0.509292009615265,1,1,0.0173167274763297,"HIP - CA","mt-Nd3",0.509291736445963,0,0
6.7804362926856e-07,0.410592654950619,0.992,0.981,0.0218906385709355,"HIP - CA","Aplp1",0.410592376550885,0.0110887096774194,0.00455293965933442
1.27637843471688e-06,0.604453493250741,0.992,0.973,0.0412078777648345,"HIP - CA","Rpl37",0.604452721739338,0.0191532258064516,0.0115772194687978
2.13585946177171e-06,1.43390723058087,0.411,0.183,0.0689562227232997,"HIP - CA","Galntl6",1.43390416795655,0.554744525547445,0.795450487333558
2.49584616740159e-06,1.83714338797428,0.258,0.08,0.0805783935145602,"HIP - CA","Cnih2",1.83713880274699,0.689922480620155,1.26748336003475
7.05544167737687e-06,1.44596661974802,0.226,0.068,0.227784934554112,"HIP - CA","Gm2115",1.44595641781487,0.699115044247788,1.01088988502101
7.19190551857135e-06,1.05869181514795,0.548,0.331,0.232190669667076,"HIP - CA","Cplx2",1.05868420113644,0.395985401459854,0.419223488406218
7.8205231239195e-06,0.531247188056858,0.992,0.947,0.252485589055741,"HIP - CA","Rpl38",0.531243033425939,0.0453629032258065,0.0240987263146848
9.11974441595204e-06,1.17662720786715,0.71,0.479,0.294430948469012,"HIP - CA","Camk2a",1.17661647732774,0.325352112676056,0.38281465670804
9.77875048922157e-09,2.66853030699488,0.33,0.096,0.000315706959544518,"PAR-POST-PRE-SUB-ProS","Tshz2",2.66853028089999,0.709090909090909,1.89223056281999
4.01437912955571e-07,1.62299004838253,0.189,0.032,0.0129604230197706,"PAR-POST-PRE-SUB-ProS","Ldb2",1.62298939685279,0.830687830687831,1.348197541301
1.03532110789687e-06,2.72984074433698,0.198,0.043,0.0334253419684504,"PAR-POST-PRE-SUB-ProS","Sst",2.72983791807524,0.782828282828283,2.13699432980637
4.20369140731575e-06,0.248974797532508,0.264,0.085,0.135716177085189,"PAR-POST-PRE-SUB-ProS","Cntn5",0.248973750919291,0.678030303030303,0.168811747782398
1.27608787523708e-05,0.827620779808397,0.953,0.843,0.41198497052029,"PAR-POST-PRE-SUB-ProS","Adipor2",0.827610218639973,0.115424973767051,0.0955268877758626
1.35541902449684e-05,1.17154460457485,0.453,0.221,0.437597032058805,"PAR-POST-PRE-SUB-ProS","Dpp10",1.1715287252364,0.512141280353201,0.599988221313124
1.77536807321583e-05,1.61856778831783,0.302,0.121,0.57317758243773,"PAR-POST-PRE-SUB-ProS","Frmpd4",1.61853905278208,0.599337748344371,0.97005155150184
1.91437423523603e-05,1.70830631929051,0.311,0.128,0.618055721845952,"PAR-POST-PRE-SUB-ProS","Sgcz",1.70827361591447,0.588424437299035,1.00518994119726
0.0010903646150018,13.8955762890724,0.038,0,1,"PAR-POST-PRE-SUB-ProS","Gm49906",13.8804250443817,1,13.8804250443817
0.00474237444345606,13.4750843394752,0.028,0,1,"PAR-POST-PRE-SUB-ProS","Mc5r",13.4111804438803,1,13.4111804438803
0.0010903646150018,13.4146124950047,0.038,0,1,"PAR-POST-PRE-SUB-ProS","Gm7967",13.3999856762161,1,13.3999856762161
0.00474237444345606,13.2481843095539,0.028,0,1,"PAR-POST-PRE-SUB-ProS","Gm6209",13.1853564588621,1,13.1853564588621
0.00474237444345606,12.9940130327377,0.028,0,1,"PAR-POST-PRE-SUB-ProS","Fndc1",12.9323905574133,1,12.9323905574133
0.00474237444345606,12.94193328378,0.028,0,1,"PAR-POST-PRE-SUB-ProS","Gpr152",12.8805577901261,1,12.8805577901261
0.00474237444345606,12.8874519813293,0.028,0,1,"PAR-POST-PRE-SUB-ProS","Emilin1",12.8263348584117,1,12.8263348584117
